TX_ACCESSION	SYMBOL
ENST00000301790.4	HRASLS5
ENST00000301790.4	PLAAT5
ENST00000302445.7	KARS
ENST00000302445.7	KARS1
ENST00000302798.7	PALM2-AKAP2
ENST00000302798.7	PALM2AKAP2
ENST00000303804.5	PRY
ENST00000303804.5	PRY2
ENST00000303902.9	RBMY1A1
ENST00000303902.9	RBMY1B
ENST00000303910.4	H2AC8
ENST00000303910.4	HIST1H2AE
ENST00000304218.5	H1-4
ENST00000304218.5	HIST1H1E
ENST00000304311.3	DPCR1
ENST00000304311.3	MUCL3
ENST00000304332.8	H2AFY
ENST00000304332.8	MACROH2A1
ENST00000305321.4	BOLA2
ENST00000305321.4	BOLA2B
ENST00000305428.7	MINAR1
ENST00000305428.7	KIAA1024
ENST00000306882.4	CDY1
ENST00000306882.4	CDY1B
ENST00000307393.2	HSFY2
ENST00000307393.2	HSFY1
ENST00000307486.12	MAB21L4
ENST00000307486.12	C2orf54
ENST00000307633.7	HARS1
ENST00000307633.7	HARS
ENST00000308153.8	H2AZ2
ENST00000308153.8	H2AFV
ENST00000308293.5	FAM46D
ENST00000308293.5	TENT5D
ENST00000308769.12	COP1
ENST00000308769.12	RFWD2
ENST00000309050.9	C12orf76
ENST00000309324.8	C19orf70
ENST00000309324.8	MICOS13
ENST00000309424.7	CD3EAP
ENST00000309424.7	POLR1G
ENST00000309579.7	USMG5
ENST00000309579.7	ATP5MK
ENST00000309834.8	HSFY2
ENST00000309834.8	HSFY1
ENST00000310027.9	C1orf61
ENST00000310027.9	MIR9-1HG
ENST00000311122.5	C10orf76
ENST00000311122.5	ARMH3
ENST00000311841.7	AL357673.1
ENST00000311841.7	CYB5RL
ENST00000312153.1	OR9G9
ENST00000312153.1	OR9G1
ENST00000312283.12	STX16
ENST00000312283.12	STX16-NPEPL1
ENST00000312469.8	H2AFY
ENST00000312469.8	MACROH2A1
ENST00000314246.12	GOLGA8DP
ENST00000314246.12	GOLGA8EP
ENST00000314357.3	DEFB103A
ENST00000314357.3	DEFB103B
ENST00000314475.6	TMEM136
ENST00000314475.6	TLCD5
ENST00000315396.7	ODAD1
ENST00000315396.7	CCDC114
ENST00000315601.8	GPS2
ENST00000315601.8	AC026954.2
ENST00000315691.7	C3orf58
ENST00000315691.7	DIPK2A
ENST00000317256.10	SEPTIN4
ENST00000317256.10	SEPT4
ENST00000317268.7	SEPTIN4
ENST00000317268.7	SEPT4
ENST00000318245.5	LMO7DN
ENST00000318282.9	MKL2
ENST00000318282.9	MRTFB
ENST00000318673.6	AC068946.1
ENST00000318673.6	NHEJ1
ENST00000318737.8	SHOC1
ENST00000318737.8	C9orf84
ENST00000319386.7	ITPRID1
ENST00000319386.7	CCDC129
ENST00000319410.9	KARS
ENST00000319410.9	KARS1
ENST00000319836.7	MARCHF8
ENST00000319836.7	MARCH8
ENST00000319977.8	C17orf53
ENST00000319977.8	HROB
ENST00000320267.13	CFAP94
ENST00000320267.13	CASC1
ENST00000320370.11	ITPRID2
ENST00000320370.11	SSFA2
ENST00000321130.14	PRORP
ENST00000321130.14	KIAA0391
ENST00000321367.7	SEPTIN1
ENST00000321367.7	SEPT1
ENST00000321691.3	C17orf47
ENST00000321691.3	SEPTIN4
ENST00000321777.5	C8orf59
ENST00000321777.5	RBIS
ENST00000321844.6	AP002360.1
ENST00000321844.6	GVQW3
ENST00000322209.4	NUDT4B
ENST00000322209.4	NUDT4P1
ENST00000322224.8	MFSD7
ENST00000322224.8	SLC49A3
ENST00000322446.3	EIF2S3B
ENST00000322446.3	AC068775.1
ENST00000323223.2	TMEM78
ENST00000323387.5	FAM35DP
ENST00000323387.5	SHLD2P3
ENST00000323646.9	PLA2G16
ENST00000323646.9	PLAAT3
ENST00000323684.3	ZNF645
ENST00000323684.3	CBLL2
ENST00000324348.8	RNF227
ENST00000324348.8	LINC02581
ENST00000324382.6	H1FOO
ENST00000324382.6	H1-8
ENST00000324411.8	HKR1
ENST00000324411.8	ZNF875
ENST00000324557.8	EEF1AKMT4
ENST00000324557.8	ECE2
ENST00000324803.6	UVSSA
ENST00000324803.6	CRIPAK
ENST00000325223.7	C21orf2
ENST00000325223.7	CFAP410
ENST00000326105.6	ENTR1P2
ENST00000326105.6	SDCCAG3P2
ENST00000326539.6	PRNT
ENST00000326813.12	DNAI3
ENST00000326813.12	WDR63
ENST00000327086.8	AC138393.1
ENST00000327086.8	SEPTIN7P13
ENST00000327141.8	AES
ENST00000327141.8	TLE5
ENST00000327792.6	NPIPA9
ENST00000327792.6	AC126755.2
ENST00000327925.5	CCDC144NL
ENST00000328088.5	ZNF807
ENST00000328088.5	ZNF807P
ENST00000328090.9	TASOR2
ENST00000328090.9	FAM208B
ENST00000328207.6	OR5BS1P
ENST00000328249.3	ERMAP
ENST00000328264.7	DSCR4
ENST00000328376.9	C3orf35
ENST00000328453.9	CASTOR3
ENST00000328453.9	GATS
ENST00000328570.5	OR2T29
ENST00000328570.5	OR2T5
ENST00000329047.12	SEPT9
ENST00000329047.12	SEPTIN9
ENST00000329516.7	RGPD6
ENST00000329516.7	RGPD5
ENST00000330020.4	AC115220.1
ENST00000330020.4	ZNF722P
ENST00000330168.9	AC004997.1
ENST00000330168.9	CASTOR1
ENST00000330330.9	AMY1A
ENST00000330330.9	AMY1B
ENST00000330575.9	RGPD5
ENST00000330575.9	RGPD8
ENST00000330877.6	ADSSL1
ENST00000330877.6	ADSS1
ENST00000330912.6	HAUS7
ENST00000330912.6	TREX2
ENST00000331057.8	MOSMO
ENST00000331057.8	C16orf52
ENST00000331148.5	CLSTN3
ENST00000331243.4	LRATD1
ENST00000331243.4	FAM84A
ENST00000331259.5	FP885919.1
ENST00000331259.5	AQP7P3
ENST00000331301.8	ACTE1P
ENST00000331301.8	FLJ42102
ENST00000331342.4	SNORC
ENST00000331342.4	C2orf82
ENST00000331380.3	H2AC20
ENST00000331380.3	HIST2H2AC
ENST00000331442.4	H1-5
ENST00000331442.4	HIST1H1B
ENST00000331491.1	H3C13
ENST00000331491.1	HIST2H3D
ENST00000331505.5	RIMBP3C
ENST00000331505.5	RIMBP3B
ENST00000331733.4	FAM187A
ENST00000331733.4	CCDC103
ENST00000331828.4	TRBV21OR9-2
ENST00000332043.1	OR51J1
ENST00000332386.9	NIBAN3
ENST00000332386.9	FAM129C
ENST00000332441.7	EP400NL
ENST00000332441.7	EP400P1
ENST00000332506.7	C3orf35
ENST00000332614.6	NXF5
ENST00000332814.6	HOATZ
ENST00000332814.6	C11orf88
ENST00000332831.4	OR4F3
ENST00000332831.4	OR4F16
ENST00000332972.9	ADSSL1
ENST00000332972.9	ADSS1
ENST00000333151.4	H2AC14
ENST00000333151.4	HIST1H2AJ
ENST00000333385.10	SPDYE8P
ENST00000333385.10	SPDYE8
ENST00000334036.9	DMRTC1
ENST00000334036.9	DMRTC1B
ENST00000334060.8	SHOX
ENST00000334307.9	C11orf74
ENST00000334307.9	IFTAP
ENST00000334342.5	ARMH4
ENST00000334342.5	C14orf37
ENST00000334490.5	C9orf47
ENST00000334497.6	HAUS7
ENST00000334497.6	TREX2
ENST00000335017.1	H1-7
ENST00000335017.1	H1FNT
ENST00000335393.8	NIBAN3
ENST00000335393.8	FAM129C
ENST00000335479.2	DEFB106B
ENST00000335479.2	DEFB106A
ENST00000335507.9	CIDECP1
ENST00000335507.9	CIDECP
ENST00000335515.10	AL365205.1
ENST00000335515.10	PRICKLE4
ENST00000335698.4	ATP5C1
ENST00000335698.4	ATP5F1C
ENST00000335950.8	RNASE11
ENST00000335950.8	AL163195.3
ENST00000336070.11	FRMD1
ENST00000336387.4	PIH1D3
ENST00000336387.4	DNAAF6
ENST00000336769.9	TAFA5
ENST00000336769.9	FAM19A5
ENST00000336777.9	SSX2B
ENST00000336777.9	SSX2
ENST00000337003.4	ATP5MK
ENST00000337003.4	USMG5
ENST00000337335.5	OBSCN-AS1
ENST00000337579.4	RSPH10B
ENST00000337579.4	RSPH10B2
ENST00000337685.6	MUM1L1
ENST00000337685.6	PWWP3B
ENST00000337752.6	C5orf56
ENST00000337752.6	IRF1-AS1
ENST00000338183.8	CDIN1
ENST00000338183.8	C15orf41
ENST00000338205.9	KIAA0368
ENST00000338205.9	ECPAS
ENST00000338231.7	SEPT7P2
ENST00000338231.7	SEPTIN7P2
ENST00000338379.5	H1-6
ENST00000338379.5	HIST1H1T
ENST00000338487.5	DUPD1
ENST00000338487.5	DUSP29
ENST00000338525.6	HAUS7
ENST00000338525.6	TREX2
ENST00000339553.9	MROH7-TTC4
ENST00000339553.9	MROH7
ENST00000339812.2	HIST1H2BJ
ENST00000339812.2	H2BC11
ENST00000339875.9	MARCH1
ENST00000339875.9	MARCHF1
ENST00000340073.8	SPDYE11
ENST00000340073.8	SPDYE8
ENST00000340135.3	SLC25A51P4
ENST00000340135.3	AC090099.1
ENST00000340857.3	H1F0
ENST00000340857.3	H1-0
ENST00000341023.1	H2AC7
ENST00000341023.1	HIST1H2AD
ENST00000341305.6	TP53TG3B
ENST00000341305.6	TP53TG3
ENST00000341390.7	GOLGA8DP
ENST00000341390.7	GOLGA8EP
ENST00000341400.11	NPIPB4
ENST00000341400.11	NPIPB5
ENST00000341502.9	CTAGE5
ENST00000341502.9	MIA2
ENST00000341656.4	SPDYE2B
ENST00000341656.4	SPDYE2
ENST00000341698.2	TMEM189-UBE2V1
ENST00000341698.2	PEDS1-UBE2V1
ENST00000341749.7	CTAGE5
ENST00000341749.7	MIA2
ENST00000342422.3	C20orf24
ENST00000342422.3	RAB5IF
ENST00000342528.2	OTOG
ENST00000342572.12	CYBC1
ENST00000342572.12	C17orf62
ENST00000342616.4	RUFY2
ENST00000343004.9	FAM122B
ENST00000343004.9	PABIR2
ENST00000343584.10	PRYP3
ENST00000343677.3	H1-2
ENST00000343677.3	HIST1H1C
ENST00000343939.6	OSGIN1
ENST00000343984.5	SEPT6
ENST00000343984.5	SEPTIN6
ENST00000343998.7	DIPK1C
ENST00000343998.7	FAM69C
ENST00000344102.9	WARS
ENST00000344102.9	WARS1
ENST00000344546.8	ATP5PD
ENST00000344546.8	ATP5H
ENST00000344640.7	ZNF365
ENST00000345535.8	SLX1B
ENST00000345535.8	SLX1A
ENST00000345795.6	GOLM2
ENST00000345795.6	CASC4
ENST00000346333.10	FAM86C1
ENST00000346333.10	FAM86C1P
ENST00000346403.10	SNRPN
ENST00000346403.10	SNURF
ENST00000346736.6	BRME1
ENST00000346736.6	C19orf57
ENST00000347206.8	C11orf74
ENST00000347206.8	IFTAP
ENST00000347950.9	MFSD7
ENST00000347950.9	SLC49A3
ENST00000348007.7	CTAGE5
ENST00000348007.7	MIA2
ENST00000348499.9	C21orf33
ENST00000348499.9	GATD3A
ENST00000349129.6	DOPEY1
ENST00000349129.6	DOP1A
ENST00000349299.7	H2AZ2
ENST00000349299.7	H2AFV
ENST00000349556.4	FGFR1OP
ENST00000349556.4	CEP43
ENST00000350082.9	ICK
ENST00000350082.9	CILK1
ENST00000350320.10	SEPT7
ENST00000350320.10	SEPTIN7
ENST00000350771.7	H2AZ2
ENST00000350771.7	H2AFV
ENST00000351273.11	ACP3
ENST00000351273.11	ACPP
ENST00000351365.7	PQLC1
ENST00000351365.7	SLC66A2
ENST00000351581.4	SLX1B
ENST00000351581.4	SLX1A
ENST00000354189.9	CFAP94
ENST00000354189.9	CASC1
ENST00000354228.8	SEPT6
ENST00000354228.8	SEPTIN6
ENST00000354416.7	SEPT6
ENST00000354416.7	SEPTIN6
ENST00000354445.2	RARRES3
ENST00000354445.2	PLAAT4
ENST00000354454.7	IRAG2
ENST00000354454.7	LRMP
ENST00000354862.4	NAT6
ENST00000354862.4	NAA80
ENST00000355016.7	H2BFM
ENST00000355016.7	H2BW2
ENST00000355057.2	H4C11
ENST00000355057.2	HIST1H4J
ENST00000355203.6	EOLA2
ENST00000355203.6	CXorf40B
ENST00000355338.6	WARS
ENST00000355338.6	WARS1
ENST00000355432.8	CSF2RA
ENST00000355486.3	LTO1
ENST00000355486.3	ORAOV1
ENST00000355628.9	TASOR
ENST00000355628.9	FAM208A
ENST00000355705.3	PLGLB1
ENST00000355705.3	PLGLB2
ENST00000355805.7	CSF2RA
ENST00000355809.4	ZCCHC11
ENST00000355809.4	TUT4
ENST00000355938.9	ATP5G1
ENST00000355938.9	ATP5MC1
ENST00000356293.5	AL672167.1
ENST00000356293.5	OR2B4P
ENST00000356530.5	H2BC7
ENST00000356530.5	HIST1H2BF
ENST00000356688.8	SEPT10
ENST00000356688.8	SEPTIN10
ENST00000356950.1	H2BC12
ENST00000356950.1	HIST1H2BK
ENST00000356971.3	ICK
ENST00000356971.3	CILK1
ENST00000357022.6	AHSA2
ENST00000357022.6	AHSA2P
ENST00000357175.6	MUM1L1
ENST00000357175.6	PWWP3B
ENST00000357332.7	ASNA1
ENST00000357332.7	GET3
ENST00000357336.3	ANKRD20A4
ENST00000357336.3	ANKRD20A4P
ENST00000357348.9	RTFDC1
ENST00000357348.9	RTF2
ENST00000357464.4	PAPD5
ENST00000357464.4	TENT4B
ENST00000357508.5	C1orf228
ENST00000357508.5	ARMH1
ENST00000357575.8	PQLC1
ENST00000357575.8	SLC66A2
ENST00000357704.8	DSCR8
ENST00000357797.9	MGEA5
ENST00000357797.9	OGA
