TX_ACCESSION	SYMBOL
ENST00000423774.2	AC116050.1
ENST00000423774.2	LSP1P4
ENST00000423969.6	H2AFY
ENST00000423969.6	MACROH2A1
ENST00000423990.6	CIBAR1
ENST00000423990.6	FAM92A
ENST00000424001.5	IRAG1
ENST00000424001.5	MRVI1
ENST00000424010.1	CT75
ENST00000424010.1	AC010980.1
ENST00000424078.5	PGAP6
ENST00000424078.5	TMEM8A
ENST00000424142.5	C7orf49
ENST00000424142.5	CYREN
ENST00000424143.5	AOPEP
ENST00000424143.5	C9orf3
ENST00000424164.1	FAM159A
ENST00000424164.1	SHISAL2A
ENST00000424288.1	TNIP2P1
ENST00000424288.1	AC092474.2
ENST00000424306.5	AL390879.2
ENST00000424306.5	AL390879.1
ENST00000424329.1	HNRNPA1P30
ENST00000424329.1	LINC00367
ENST00000424407.1	AC000095.2
ENST00000424407.1	DGCR5
ENST00000424471.1	CIDECP1
ENST00000424471.1	CIDECP
ENST00000424484.5	C1orf228
ENST00000424484.5	ARMH1
ENST00000424491.5	C2orf15
ENST00000424491.5	AC079447.1
ENST00000424594.1	TSPY10
ENST00000424594.1	TSPY3
ENST00000424691.1	CIDECP1
ENST00000424691.1	CIDECP
ENST00000424811.2	FAM196A
ENST00000424811.2	INSYN2A
ENST00000424885.1	AL512326.5
ENST00000424885.1	AL512326.3
ENST00000424917.1	LCEP1
ENST00000424917.1	AL353779.2
ENST00000424918.1	CR848007.1
ENST00000424918.1	CR848007.2
ENST00000424928.2	AC008267.6
ENST00000424928.2	AC008267.5
ENST00000425049.1	SHANK2
ENST00000425198.1	SEPT7
ENST00000425198.1	SEPTIN7
ENST00000425232.6	CPLANE1
ENST00000425232.6	C5orf42
ENST00000425239.5	ATG4B
ENST00000425303.6	MOCS1
ENST00000425336.1	C21orf59
ENST00000425336.1	CFAP298
ENST00000425381.1	AC008074.2
ENST00000425381.1	AC008074.1
ENST00000425410.1	AMY1A
ENST00000425410.1	AMY1B
ENST00000425455.2	AL592494.2
ENST00000425455.2	MTIF2P1
ENST00000425488.1	ALS2CR12
ENST00000425488.1	FLACC1
ENST00000425498.1	SEPT10
ENST00000425498.1	SEPTIN10
ENST00000425559.1	AL109810.2
ENST00000425559.1	TRIM67-AS1
ENST00000425560.1	MTARC2
ENST00000425560.1	MARC2
ENST00000425564.2	C3orf35
ENST00000425590.1	ASNSD1
ENST00000425590.1	ASDURF
ENST00000425663.5	MS4A4E
ENST00000425689.1	KIAA1324L
ENST00000425689.1	ELAPOR2
ENST00000425700.3	C4B
ENST00000425700.3	C4B_2
ENST00000425797.2	DTX2P1-UPK3BP1-PMS2P11
ENST00000425797.2	DTX2P1
ENST00000425876.6	TEN1-CDK3
ENST00000425876.6	CDK3
ENST00000425899.5	SEPTIN2
ENST00000425899.5	SEPT2
ENST00000425932.5	C3orf35
ENST00000425948.2	AP000346.2
ENST00000425948.2	GUSBP11
ENST00000425964.1	ATP5MDP1
ENST00000425964.1	USMG5P1
ENST00000426000.6	DAZ4
ENST00000426000.6	DAZ1
ENST00000426040.1	AC098614.1
ENST00000426040.1	AC098614.2
ENST00000426078.5	C3orf35
ENST00000426101.5	AC245100.4
ENST00000426101.5	PDE4DIPP6
ENST00000426297.1	CAPN10
ENST00000426297.1	GPR35
ENST00000426359.1	AL512326.4
ENST00000426359.1	AL512326.2
ENST00000426406.3	OR4F3
ENST00000426406.3	OR4F29
ENST00000426448.1	AC007731.1
ENST00000426448.1	AC007731.2
ENST00000426563.5	TCTEX1D2
ENST00000426563.5	DYNLT2B
ENST00000426595.1	AC092647.5
ENST00000426595.1	ZNF713
ENST00000426628.6	FAM86C1
ENST00000426628.6	FAM86C1P
ENST00000426661.5	FAM197Y8
ENST00000426661.5	FAM197Y2
ENST00000426713.1	LINC00116
ENST00000426713.1	MTLN
ENST00000426792.2	ATP8A2P3
ENST00000426792.2	RNF6
ENST00000426861.5	SEPTIN4
ENST00000426861.5	SEPT4
ENST00000426943.4	AL390879.2
ENST00000426943.4	AL390879.1
ENST00000426950.6	TSPY10
ENST00000426950.6	TSPY4
ENST00000427113.2	AC244197.3
ENST00000427113.2	LINC00893
ENST00000427180.5	SEPT9
ENST00000427180.5	SEPTIN9
ENST00000427193.1	AOPEP
ENST00000427193.1	C9orf3
ENST00000427308.1	AL354707.3
ENST00000427308.1	AL354707.2
ENST00000427313.5	PGAP6
ENST00000427313.5	TMEM8A
ENST00000427321.1	C1orf228
ENST00000427321.1	ARMH1
ENST00000427336.1	C1orf228
ENST00000427336.1	ARMH1
ENST00000427340.1	AL645939.1
ENST00000427340.1	HCG4P11
ENST00000427453.5	PLA2G6
ENST00000427497.3	AC055811.2
ENST00000427497.3	FLCN
ENST00000427563.1	COL9A2
ENST00000427568.1	AC079248.2
ENST00000427568.1	AC079248.1
ENST00000427674.6	SEPT9
ENST00000427674.6	SEPTIN9
ENST00000427721.3	CTSD
ENST00000427721.3	AC068580.4
ENST00000427733.1	KRT18P27
ENST00000427733.1	MIR622
ENST00000427780.1	DPY19L4P1
ENST00000427780.1	AL672296.1
ENST00000427788.2	MTAP
ENST00000427803.6	C21orf33
ENST00000427803.6	GATD3A
ENST00000427812.1	KIAA1324L
ENST00000427812.1	ELAPOR2
ENST00000427883.1	BX890604.1
ENST00000427883.1	BX890604.2
ENST00000427995.5	CCDC200
ENST00000427995.5	LINC00854
ENST00000427996.5	C6orf201
ENST00000427999.6	NPIPA9
ENST00000427999.6	AC126755.2
ENST00000428076.1	FAM58DP
ENST00000428076.1	CCNQP3
ENST00000428096.5	KIAA1211L
ENST00000428096.5	CRACDL
ENST00000428098.5	DDX39B
ENST00000428098.5	ATP6V1G2-DDX39B
ENST00000428236.5	EOLA1
ENST00000428236.5	CXorf40A
ENST00000428282.5	SEPTIN2
ENST00000428282.5	SEPT2
ENST00000428294.5	TPTEP2-CSNK1E
ENST00000428294.5	Z98749.2
ENST00000428308.6	PAPD4
ENST00000428308.6	TENT2
ENST00000428311.1	ZNF709
ENST00000428311.1	AC008758.1
ENST00000428313.5	AOPEP
ENST00000428313.5	C9orf3
ENST00000428414.5	SEPT7P2
ENST00000428414.5	SEPTIN7P2
ENST00000428445.1	VARS
ENST00000428445.1	VARS1
ENST00000428465.2	CFAP251
ENST00000428465.2	WDR66
ENST00000428481.1	SLC66A3
ENST00000428481.1	PQLC3
ENST00000428524.5	SEPTIN2
ENST00000428524.5	SEPT2
ENST00000428606.1	TPTEP2-CSNK1E
ENST00000428606.1	Z98749.2
ENST00000428700.1	AC009501.2
ENST00000428700.1	AC009501.1
ENST00000428754.2	AC015818.6
ENST00000428754.2	AC015818.7
ENST00000428812.1	ZPLD2P
ENST00000428812.1	AL355877.1
ENST00000428861.1	ATG4B
ENST00000428867.1	SEPT7P2
ENST00000428867.1	SEPTIN7P2
ENST00000429024.1	ATP5G1P5
ENST00000429024.1	ATP5MC1P5
ENST00000429064.1	ATP5PO
ENST00000429064.1	ATP5O
ENST00000429083.1	ATP5G2P3
ENST00000429083.1	ATP5MC2P3
ENST00000429162.2	GOLM2
ENST00000429162.2	CASC4
ENST00000429181.6	PLCXD1
ENST00000429234.1	HLA-DMB
ENST00000429234.1	AL645941.2
ENST00000429238.2	ATP5PO
ENST00000429238.2	AP000311.1
ENST00000429278.1	AC096644.2
ENST00000429278.1	AC096644.1
ENST00000429354.3	AC018755.2
ENST00000429354.3	SIGLEC5
ENST00000429475.5	CT75
ENST00000429475.5	AC010980.1
ENST00000429594.1	AC007731.5
ENST00000429594.1	SCARF2
ENST00000429625.5	MAD1L1
ENST00000429649.1	AC002069.1
ENST00000429649.1	AC002069.3
ENST00000429650.1	SNRNP200
ENST00000429656.1	HCG4P5
ENST00000429656.1	AL671277.1
ENST00000429741.5	SEPT7P2
ENST00000429741.5	SEPTIN7P2
ENST00000429791.5	SEPTIN2
ENST00000429791.5	SEPT2
ENST00000429810.2	PDPR2P
ENST00000429810.2	AC009053.1
ENST00000429860.1	MGEA5
ENST00000429860.1	OGA
ENST00000429864.1	AL442647.2
ENST00000429864.1	AL442647.1
ENST00000429866.1	AC124944.2
ENST00000429866.1	AC124944.1
ENST00000429899.1	ATG4B
ENST00000429930.1	RBISP1
ENST00000429930.1	C8orf59P1
ENST00000430013.1	CBS
ENST00000430013.1	CBSL
ENST00000430032.3	AC006987.1
ENST00000430032.3	AC006987.4
ENST00000430042.1	AC244035.1
ENST00000430042.1	RPL22P4
ENST00000430086.1	CCDC88A
ENST00000430182.5	QARS1
ENST00000430182.5	QARS
ENST00000430211.5	TRIM73
ENST00000430211.5	TRIM74
ENST00000430315.2	AL158071.1
ENST00000430315.2	AL158071.2
ENST00000430372.1	C7orf49
ENST00000430372.1	CYREN
ENST00000430394.1	H2BP1
ENST00000430394.1	HIST2H2BA
ENST00000430417.1	IARS1
ENST00000430417.1	IARS
ENST00000430419.1	OPN1MW2
ENST00000430419.1	OPN1MW3
ENST00000430448.3	CT47A10
ENST00000430448.3	CT47A1
ENST00000430477.6	RUSF1
ENST00000430477.6	C16orf58
ENST00000430536.7	DHRSX
ENST00000430562.6	CD99P1
ENST00000430617.6	ATG4B
ENST00000430659.5	AMY1A
ENST00000430659.5	AMY1C
ENST00000430660.1	ATP5G1P4
ENST00000430660.1	ATP5MC1P4
ENST00000430707.2	AP000346.2
ENST00000430707.2	GUSBP11
ENST00000430736.5	RGPD6
ENST00000430736.5	RGPD5
ENST00000430793.1	TTLL3
ENST00000430793.1	ARPC4-TTLL3
ENST00000430850.6	PDLIM2
ENST00000430850.6	AC037459.1
ENST00000430923.7	PLCXD1
ENST00000430982.1	PTCD1
ENST00000430982.1	ATP5MF-PTCD1
ENST00000431044.5	AC000093.1
ENST00000431044.5	SEPT5
ENST00000431124.5	SEPTIN5
ENST00000431124.5	SEPT5
ENST00000431132.6	EOLA1
ENST00000431132.6	CXorf40A
ENST00000431140.5	PILRB
ENST00000431140.5	STAG3L5P-PVRIG2P-PILRB
ENST00000431216.5	CFAP298-TCP10L
ENST00000431216.5	AP000275.2
ENST00000431235.6	SEPT9
ENST00000431235.6	SEPTIN9
ENST00000431238.7	AL954722.1
ENST00000431254.5	ATP5PO
ENST00000431254.5	ATP5O
ENST00000431330.6	HARS1
ENST00000431330.6	HARS
ENST00000431391.1	DYNLT2B
ENST00000431391.1	AC069257.3
ENST00000431464.5	AL390879.2
ENST00000431464.5	AL390879.1
ENST00000431487.5	SCLY
ENST00000431549.4	AC099329.3
ENST00000431549.4	HIGD1A
ENST00000431582.6	CD99P1
ENST00000431599.1	C21orf59
ENST00000431599.1	CFAP298
ENST00000431607.1	RPL10P3
ENST00000431607.1	SNORA70C
ENST00000431631.1	ATP5PFP1
ENST00000431631.1	ATP5JP1
ENST00000431696.1	AL512785.2
ENST00000431696.1	NOS1AP
ENST00000431842.6	TASOR
ENST00000431842.6	FAM208A
ENST00000432079.5	RO60
ENST00000432079.5	TROVE2
ENST00000432096.2	YAE1D1
ENST00000432096.2	YAE1
ENST00000432231.1	IL10RB
ENST00000432231.1	AP000295.1
ENST00000432280.2	MOCS1
ENST00000432293.2	SEPT7
ENST00000432293.2	SEPTIN7
ENST00000432318.8	CSF2RA
ENST00000432335.1	TTTY9A
ENST00000432335.1	OFD1P6Y
ENST00000432394.1	FAM197Y8
ENST00000432394.1	FAM197Y2
ENST00000432401.5	CIDECP1
ENST00000432401.5	CIDECP
ENST00000432465.1	SLC66A1
ENST00000432465.1	PQLC2
ENST00000432518.6	LINC00693
ENST00000432518.6	RBMS3
ENST00000432523.6	ASMT
ENST00000432574.2	S100A7P1
ENST00000432574.2	AL591704.1
ENST00000432595.1	AP000347.1
ENST00000432595.1	GUSBP11
ENST00000432597.3	SYCE1
ENST00000432597.3	SPRNP1
ENST00000432606.1	RGPD6
ENST00000432606.1	RGPD5
ENST00000432650.1	C20orf173
ENST00000432650.1	FO393401.2
ENST00000432679.1	MICF
ENST00000432679.1	AL645929.3
ENST00000432746.1	RPL19P12
ENST00000432746.1	AC007683.1
ENST00000432757.6	IL3RA
ENST00000432861.1	AC087499.1
ENST00000432861.1	AC087499.2
ENST00000432920.2	LEFTY1
ENST00000432920.2	AL117348.2
ENST00000432940.5	SPDYE2B
ENST00000432940.5	SPDYE2
ENST00000433030.3	CT47A12
ENST00000433030.3	CT47A1
ENST00000433142.6	WDR87BP
ENST00000433142.6	AC016582.1
ENST00000433169.5	IQCF4P
ENST00000433169.5	IQCF4
ENST00000433321.5	FAM197Y7
ENST00000433321.5	FAM197Y2
ENST00000433395.6	IL10RB
ENST00000433395.6	AP000295.1
ENST00000433461.2	TMEM5
ENST00000433461.2	RXYLT1
ENST00000433579.1	AC010132.3
ENST00000433579.1	PSMA2
ENST00000433580.1	ATP5G2P1
ENST00000433580.1	ATP5MC2P1
ENST00000433702.7	CCDC200
ENST00000433702.7	LINC00854
ENST00000433757.1	DDR2
ENST00000433775.2	ATP5PBP1
ENST00000433775.2	ATP5F1P1
ENST00000433835.3	SLC2A11
ENST00000433835.3	AP000350.4
ENST00000433855.1	KCNA6
ENST00000433855.1	GALNT8
ENST00000433871.5	CIDECP1
ENST00000433871.5	CIDECP
ENST00000433885.2	ATP5PDP2
ENST00000433885.2	ATP5HP2
ENST00000433953.2	AL049745.2
ENST00000433953.2	AL049745.1
ENST00000434012.2	AC073475.1
ENST00000434012.2	SAR1AP3
ENST00000434014.1	CPLANE2
ENST00000434014.1	RSG1
ENST00000434029.1	ODAD2
ENST00000434029.1	ARMC4
ENST00000434048.1	SEPTIN7P5
ENST00000434048.1	SEPT7P5
ENST00000434068.1	C1orf228
ENST00000434068.1	ARMH1
ENST00000434169.2	ATP5LP4
ENST00000434169.2	ATP5MGP4
ENST00000434191.1	BRK1P1
ENST00000434191.1	AC119618.1
ENST00000434206.1	GASK1A
ENST00000434206.1	FAM198A
ENST00000434291.5	AC004997.1
ENST00000434291.5	CASTOR1
ENST00000434303.1	AC090286.2
ENST00000434303.1	AC090286.3
ENST00000434304.2	ANKRD62P1-PARP4P3
ENST00000434304.2	ANKRD62P1
ENST00000434353.6	EOLA1
ENST00000434353.6	CXorf40A
ENST00000434426.1	AC092634.3
ENST00000434426.1	AC092634.4
ENST00000434520.5	C1orf228
ENST00000434520.5	ARMH1
ENST00000434623.6	AKAP2
ENST00000434623.6	PALM2AKAP2
ENST00000434650.6	CYBC1
ENST00000434650.6	C17orf62
ENST00000434659.5	KIR3DX1
ENST00000434678.1	AC094019.2
ENST00000434678.1	AC094019.1
ENST00000434737.6	ZNF177
ENST00000434737.6	ZNF559-ZNF177
ENST00000434793.1	AL353779.1
ENST00000434793.1	LCEP2
ENST00000434822.1	ZNF625-ZNF20
ENST00000434822.1	ZNF625
ENST00000434945.6	KDELC2
ENST00000434945.6	POGLUT3
ENST00000434955.5	SEPTIN2
ENST00000434955.5	SEPT2
ENST00000434987.5	AC004997.1
ENST00000434987.5	CASTOR1
ENST00000435033.1	ZNF799
ENST00000435033.1	AC008758.4
ENST00000435035.5	ARHGDIG
ENST00000435039.3	PCOTH
ENST00000435076.1	DARS
ENST00000435076.1	DARS1
ENST00000435202.5	AL355987.1
ENST00000435202.5	LCN10
ENST00000435235.6	SEPT7
ENST00000435235.6	SEPTIN7
ENST00000435324.3	CLN3
ENST00000435324.3	NPIPB7
ENST00000435358.5	MMP23B
ENST00000435358.5	MMP23A
ENST00000435371.1	ELMSAN1
ENST00000435371.1	MIDEAS
ENST00000435395.5	RSPH10B
ENST00000435395.5	RSPH10B2
ENST00000435397.6	POTEB2
ENST00000435397.6	POTEB
ENST00000435408.1	AL645939.2
ENST00000435408.1	HCG9P5
ENST00000435484.5	PLA2G6
ENST00000435519.6	CASTOR3
ENST00000435519.6	GATS
ENST00000435581.7	CD99P1
ENST00000435593.1	AC015922.1
ENST00000435593.1	AC015922.2
ENST00000435645.1	SVIL2P
ENST00000435645.1	SVILP1
ENST00000435732.5	AF130351.1
ENST00000435732.5	SAMSN1
ENST00000435741.1	FAM58CP
ENST00000435741.1	CCNQP2
ENST00000435837.2	CEACAM5
ENST00000435837.2	AC243967.1
ENST00000435868.1	AP000347.1
ENST00000435868.1	GUSBP11
ENST00000435925.2	AC090774.1
ENST00000435925.2	SPECC1P2
ENST00000436110.1	C6orf201
ENST00000436252.5	PGBP
ENST00000436252.5	PGCP1
ENST00000436357.5	DNMT3L
ENST00000436459.2	SNORD141A
ENST00000436459.2	EEF1A1P5
ENST00000436474.6	RPL14P5
ENST00000436534.5	POT1
ENST00000436597.1	AC092106.2
ENST00000436597.1	AC092106.1
ENST00000436612.5	TMEM99
ENST00000436691.1	AF228730.1
ENST00000436691.1	AF228730.3
ENST00000436756.5	AL606534.2
ENST00000436756.5	SEPTIN14P21
ENST00000436795.5	SEPTIN2
ENST00000436795.5	SEPT2
ENST00000436801.5	FAM197Y7
ENST00000436801.5	FAM197Y2
ENST00000436881.2	AJM1
ENST00000436881.2	C9orf172
ENST00000436899.5	CICP18
ENST00000436899.5	LINC00266-3
ENST00000436909.7	PAPD5
ENST00000436909.7	TENT4B
ENST00000437039.1	AC009948.2
ENST00000437039.1	AC009948.1
ENST00000437066.5	SEPTIN2
ENST00000437066.5	SEPT2
ENST00000437072.5	H2AZ2
ENST00000437072.5	H2AFV
ENST00000437076.1	SEPTIN7P4
ENST00000437076.1	SEPT7P4
ENST00000437082.5	TATDN2
ENST00000437082.5	AC022384.1
ENST00000437140.5	NUP42
ENST00000437140.5	NUPL2
ENST00000437167.1	RGPD6
ENST00000437167.1	RGPD5
ENST00000437294.1	AP000347.1
ENST00000437294.1	GUSBP11
ENST00000437485.5	CASTOR3
ENST00000437485.5	GATS
ENST00000437504.1	PARAL1
ENST00000437504.1	ANKEF1
ENST00000437572.1	ATP5J2-PTCD1
ENST00000437572.1	ATP5MF-PTCD1
ENST00000437629.6	SHLD2
ENST00000437629.6	FAM35A
ENST00000437634.1	AC012501.3
ENST00000437634.1	AC012501.2
ENST00000437659.1	C2orf40
ENST00000437659.1	ECRG4
ENST00000437679.3	LIMS4
ENST00000437679.3	LIMS3
ENST00000437689.3	AL136982.4
ENST00000437689.3	AGAP11
ENST00000437691.1	AL606534.2
ENST00000437691.1	SEPTIN14P21
ENST00000437707.1	AL161911.1
ENST00000437707.1	B3GALT9
ENST00000437709.2	AL451074.3
ENST00000437709.2	AL451074.2
ENST00000437723.1	AC069368.1
ENST00000437723.1	PLEKHO2
ENST00000437796.1	TRIM73
ENST00000437796.1	TRIM74
ENST00000437807.6	CYBC1
ENST00000437807.6	C17orf62
ENST00000437818.1	DEFB130A
ENST00000437818.1	DEFB130B
ENST00000437823.4	SPATA31A7
ENST00000437823.4	SPATA31A5
ENST00000437830.4	LYPD9P
ENST00000437830.4	CR589904.1
ENST00000437862.1	AP000347.1
ENST00000437862.1	GUSBP11
ENST00000437925.1	AL513318.1
ENST00000437925.1	NFYCP2
ENST00000437928.5	SEPT10
ENST00000437928.5	SEPTIN10
ENST00000437989.6	CDIN1
ENST00000437989.6	C15orf41
ENST00000438012.5	NUP42
ENST00000438012.5	NUPL2
ENST00000438028.5	PILRB
ENST00000438028.5	STAG3L5P-PVRIG2P-PILRB
ENST00000438110.1	AC005154.1
ENST00000438110.1	AC005154.2
ENST00000438132.7	C16orf62
ENST00000438132.7	VPS35L
ENST00000438139.1	MGAT4FP
ENST00000438139.1	AC096632.2
ENST00000438254.1	CUBN
ENST00000438307.6	HARS1
ENST00000438307.6	HARS
ENST00000438378.2	SMPD4BP
ENST00000438378.2	AC073869.1
ENST00000438532.4	AC140658.6
ENST00000438532.4	AC140658.5
ENST00000438544.5	ARSL
ENST00000438544.5	ARSE
ENST00000438602.5	AL390879.2
ENST00000438602.5	AL390879.1
ENST00000438696.5	DMRTC1
ENST00000438696.5	DMRTC1B
ENST00000438754.6	SEPTIN5
ENST00000438754.6	SEPT5
ENST00000438782.5	IHO1
ENST00000438782.5	CCDC36
ENST00000438858.1	AP000347.1
ENST00000438858.1	GUSBP11
ENST00000438905.2	ARMC4P1
ENST00000438905.2	ODAD2P1
ENST00000438957.1	AC098614.3
ENST00000438957.1	AC098614.2
ENST00000438959.5	MAD1L1
ENST00000439013.6	RARRES3
ENST00000439013.6	PLAAT4
ENST00000439023.3	AC004832.3
ENST00000439023.3	MTFP1
ENST00000439056.1	FAM58BP
ENST00000439056.1	CCNQP1
ENST00000439108.6	RBMY1A1
ENST00000439108.6	RBMY1B
ENST00000439143.1	AL390879.1
ENST00000439143.1	RPL22P23
ENST00000439237.1	CT75
ENST00000439237.1	AC010980.1
ENST00000439280.6	CARS
ENST00000439280.6	CARS1
ENST00000439464.6	DMBT1P1
ENST00000439464.6	DMBT1L1
ENST00000439466.3	CT47A11
ENST00000439466.3	CT47A5
ENST00000439709.5	ALS2CR12
ENST00000439709.5	FLACC1
ENST00000439817.5	MGEA5
ENST00000439817.5	OGA
ENST00000439838.5	AC004832.3
ENST00000439838.5	MTFP1
ENST00000440048.1	VARS
ENST00000440048.1	VARS1
ENST00000440058.5	CASTOR3
ENST00000440058.5	GATS
ENST00000440137.1	GAGE12E
ENST00000440137.1	GAGE12F
ENST00000440210.1	AC069285.2
ENST00000440210.1	AC069285.3
ENST00000440215.4	TSPY9P
ENST00000440215.4	TSPY4
ENST00000440231.1	AP002512.3
ENST00000440231.1	OR5AL1
ENST00000440303.5	FAM159A
ENST00000440303.5	SHISAL2A
ENST00000440313.2	LRTOMT
ENST00000440359.1	TISP43
ENST00000440359.1	PRSS40A
ENST00000440383.1	C1orf228
ENST00000440383.1	ARMH1
ENST00000440412.1	CXorf49B
ENST00000440412.1	CXorf49
ENST00000440483.4	TSPY10
ENST00000440483.4	TSPY3
ENST00000440604.2	AL390879.2
ENST00000440604.2	AL390879.1
ENST00000440623.5	ITPRID2
ENST00000440623.5	SSFA2
ENST00000440646.1	ATP5LP2
ENST00000440646.1	ATP5MGP2
ENST00000440686.5	SLC26A10
ENST00000440757.2	RNF103
ENST00000440757.2	RNF103-CHMP3
ENST00000440893.1	SPECC1L
ENST00000440893.1	SPECC1L-ADORA2A
ENST00000440903.1	CCDC140
ENST00000440946.5	BMS1P18
ENST00000440946.5	BMS1P22
ENST00000440959.2	ACBD6
ENST00000440959.2	LHX4-AS1
ENST00000440963.1	APOPT1
ENST00000440963.1	COA8
ENST00000440966.5	C21orf59
ENST00000440966.5	CFAP298
ENST00000441030.5	CBS
ENST00000441030.5	CBSL
ENST00000441131.7	DHRSX
ENST00000441152.3	DIP2C-AS1
ENST00000441152.3	PRR26
ENST00000441215.2	AC087499.3
ENST00000441215.2	AC087499.2
ENST00000441248.5	EOLA1
ENST00000441248.5	CXorf40A
ENST00000441293.2	EPN2-IT1
ENST00000441293.2	EPN2
ENST00000441323.5	DARS
ENST00000441323.5	DARS1
ENST00000441330.3	CT47A12
ENST00000441330.3	CT47A3
ENST00000441344.1	RGPD6
ENST00000441344.1	RGPD5
ENST00000441364.1	CR1L
ENST00000441364.1	CD46P1
ENST00000441381.1	AL672167.1
ENST00000441381.1	OR2B4P
ENST00000441519.5	C1orf228
ENST00000441519.5	ARMH1
ENST00000441533.5	SEPTIN2
ENST00000441533.5	SEPT2
ENST00000441563.5	CPNE1
ENST00000441563.5	AL109827.1
ENST00000441610.1	IQCF4P
ENST00000441610.1	IQCF4
ENST00000441664.1	AC008267.7
ENST00000441664.1	AC008267.6
ENST00000441774.1	ABCF2
ENST00000441774.1	ABCF2-H2BE1
ENST00000441880.1	AC244197.3
ENST00000441880.1	IDS
ENST00000441884.1	AC244090.1
ENST00000441884.1	AC244090.2
ENST00000441908.6	SLC66A3
ENST00000441908.6	PQLC3
ENST00000441922.6	LTO1
ENST00000441922.6	ORAOV1
ENST00000441925.2	DIPK2A
ENST00000441925.2	C3orf58
ENST00000441945.2	ATP5C1P1
ENST00000441945.2	ATP5F1CP1
ENST00000441958.2	AC087499.7
ENST00000441958.2	AC087499.6
ENST00000441989.6	AC004922.1
ENST00000441989.6	ARPC1A
ENST00000442159.3	SEMA3E
ENST00000442175.1	ATP5G2P4
ENST00000442175.1	ATP5MC2P4
ENST00000442185.1	C20orf196
ENST00000442185.1	SHLD1
ENST00000442280.1	SEPTIN14P12
ENST00000442280.1	SEPT14P12
ENST00000442322.2	TULP3P1
ENST00000442322.2	LINC00359
ENST00000442508.5	COMMD3-BMI1
ENST00000442508.5	BMI1
ENST00000442518.2	AP002383.4
ENST00000442518.2	AP002383.3
ENST00000442609.1	AC025750.3
ENST00000442609.1	AC025750.2
ENST00000442620.5	NAT6
ENST00000442620.5	NAA80
ENST00000442633.1	TM4SF19-TCTEX1D2
ENST00000442633.1	TM4SF19-DYNLT2B
ENST00000442746.1	SEPT10
ENST00000442746.1	SEPTIN10
ENST00000442773.1	WRB
ENST00000442773.1	GET1
ENST00000442788.5	AC010132.3
ENST00000442788.5	C7orf25
ENST00000442790.2	TTTY23B
ENST00000442790.2	TTTY23
ENST00000442800.1	ZNRF2
ENST00000442800.1	AC006978.2
ENST00000442822.6	TSBP1
ENST00000442822.6	C6orf10
ENST00000442858.1	BBS9
ENST00000443019.6	PLCXD1
ENST00000443024.6	IARS1
ENST00000443024.6	IARS
ENST00000443025.5	CHN2
ENST00000443025.5	AC005232.1
ENST00000443042.5	TPTEP2
ENST00000443042.5	Z98749.2
ENST00000443050.1	AL512326.1
ENST00000443050.1	AL512326.3
ENST00000443094.2	NAT6
ENST00000443094.2	NAA80
ENST00000443119.7	DDX19A
ENST00000443119.7	AC012184.2
ENST00000443120.5	ANKRD39
ENST00000443120.5	ANKRD23
ENST00000443313.5	KRBOX1
ENST00000443313.5	AC092042.3
ENST00000443333.1	STYXL2
ENST00000443333.1	DUSP27
ENST00000443492.5	SEPTIN2
ENST00000443492.5	SEPT2
ENST00000443519.1	COMMD3-BMI1
ENST00000443519.1	BMI1
ENST00000443526.5	PILRB
ENST00000443526.5	STAG3L5P-PVRIG2P-PILRB
ENST00000443539.6	EP400NL
ENST00000443539.6	EP400P1
ENST00000443658.5	TPTEP2
ENST00000443658.5	Z98749.2
ENST00000443668.6	GUCY1A3
ENST00000443668.6	GUCY1A1
ENST00000443733.1	AC079150.1
ENST00000443733.1	AC079150.2
ENST00000443842.1	NAT6
ENST00000443842.1	NAA80
ENST00000443880.1	MTARC1
ENST00000443880.1	MARC1
ENST00000443912.5	LINC00693
ENST00000443912.5	RBMS3
ENST00000444059.2	FAM212B
ENST00000444059.2	INKA2
ENST00000444069.5	NME6
ENST00000444140.1	AC099796.1
ENST00000444140.1	AC099796.2
ENST00000444161.1	ATP5MFP1
ENST00000444161.1	ATP5J2LP
ENST00000444220.2	AP000347.1
ENST00000444220.2	GUSBP11
ENST00000444280.6	DHRSX
ENST00000444291.1	AC092106.1
ENST00000444291.1	RPL22P10
ENST00000444357.5	BMS1P17
ENST00000444357.5	BMS1P22
ENST00000444398.1	ATP5MC1P7
ENST00000444398.1	ATP5G1P7
ENST00000444521.6	FAM213B
ENST00000444521.6	PRXL2B
ENST00000444525.1	C1orf228
ENST00000444525.1	ARMH1
ENST00000444609.1	HDAC8
ENST00000444622.1	Z77249.1
ENST00000444622.1	Z77249.2
ENST00000444627.5	KIAA1324L
ENST00000444627.5	ELAPOR2
ENST00000444666.5	GARS1
ENST00000444666.5	GARS
ENST00000444717.1	EIF6
ENST00000444717.1	AL121753.1
ENST00000444751.5	C1orf228
ENST00000444751.5	ARMH1
ENST00000444755.5	SEPT7P2
ENST00000444755.5	SEPTIN7P2
ENST00000444851.5	DYNC2I1
ENST00000444851.5	WDR60
ENST00000444995.7	LRP5L
ENST00000445030.5	SEPTIN2
ENST00000445030.5	SEPT2
ENST00000445062.6	PLCXD1
ENST00000445071.5	C1orf228
ENST00000445071.5	ARMH1
ENST00000445077.1	LINC00693
ENST00000445077.1	RBMS3
